PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
 6.58691E+01, 2.66160E+00
 6.61682E+01, 1.09297E+00
 6.64672E+01, 6.80891E-01
 6.67662E+01, 1.63544E+00
 6.70653E+01, 1.83371E+00
 6.73643E+01, 1.86878E+00
 6.76634E+01, 5.72636E-01
 6.79624E+01, 2.05717E+00
 6.82614E+01, 2.49371E+00
 6.85605E+01, 1.96763E+00
 6.88595E+01, 4.19902E-01
 6.91586E+01, 2.62068E+00
 6.94576E+01, 1.77506E+00
 6.97566E+01, 1.01125E+00
 7.00557E+01, 3.34996E+00
 7.03547E+01, 2.11414E+00
 7.06537E+01, 1.94546E+00
 7.09528E+01, 4.84772E+00
 7.12518E+01, 3.13765E+00
 7.15509E+01, 3.81267E-01
 7.18499E+01, 1.88960E+00
 7.21489E+01, 3.12917E+00
 7.24480E+01, 3.12152E+00
 7.27470E+01, 2.18246E+00
 7.30461E+01, 8.70223E-01
 7.33451E+01, 1.06636E+00
 7.36441E+01, 4.56635E-01
 7.39432E+01, 8.12849E-01
 7.42422E+01, 2.23582E+00
 7.45413E+01, 1.02760E+00
 7.48403E+01, 7.42473E-01
 7.51393E+01, 1.81324E+00
 7.54384E+01, 5.29038E-01
 7.57374E+01, 2.99146E-01
 7.60365E+01, 1.05999E+00
 7.63355E+01, 1.05324E+00
 7.66345E+01, 5.72023E-01
 7.69336E+01, 2.34323E-01
 7.72326E+01, 1.44367E+00
 7.75316E+01, 1.68273E+00
 7.78307E+01, 1.22505E+00
 7.81297E+01, 2.09594E+00
 7.84288E+01, 1.79158E+00
 7.87278E+01, 6.88514E-01
 7.90268E+01, 0.00000E+00
 7.93259E+01, 0.00000E+00
 7.96249E+01, 0.00000E+00
 7.99240E+01, 0.00000E+00
 8.02230E+01, 0.00000E+00
 8.05220E+01, 0.00000E+00
 8.08211E+01, 0.00000E+00
 8.11201E+01, 2.65886E-01
 8.14192E+01, 8.24600E-01
 8.17182E+01, 1.48870E-01
 8.20172E+01, 1.08114E+00
 8.23163E+01, 8.50658E-01
 8.26153E+01, 1.49309E-01
 8.29143E+01, 8.80908E-01
 8.32134E+01, 0.00000E+00
 8.35124E+01, 1.70653E-01
 8.38115E+01, 8.94715E-01
 8.41105E+01, 0.00000E+00
 8.44095E+01, 0.00000E+00
 8.47086E+01, 0.00000E+00
 8.50076E+01, 0.00000E+00
 8.53067E+01, 2.97157E-01
 8.56057E+01, 1.77784E+00
 8.59047E+01, 0.00000E+00
 8.62038E+01, 1.32670E-01
 8.65028E+01, 9.11127E-01
 8.68019E+01, 1.59076E-01
 8.71009E+01, 1.88321E+00
 8.73999E+01, 5.11973E-02
 8.76990E+01, 9.30611E-01
 8.79980E+01, 0.00000E+00
 8.82971E+01, 0.00000E+00
 8.85961E+01, 0.00000E+00
 8.88951E+01, 0.00000E+00
 8.91942E+01, 0.00000E+00
 8.94932E+01, 0.00000E+00
 8.97922E+01, 0.00000E+00
 9.00913E+01, 0.00000E+00
 9.03903E+01, 0.00000E+00
 9.06894E+01, 0.00000E+00
 9.09884E+01, 0.00000E+00
 9.12874E+01, 0.00000E+00
 9.15865E+01, 1.35205E-01
 9.18855E+01, 1.87304E+00
 9.21846E+01, 0.00000E+00
 9.24836E+01, 0.00000E+00
 9.27826E+01, 0.00000E+00
 9.30817E+01, 0.00000E+00
 9.33807E+01, 0.00000E+00
 9.36798E+01, 0.00000E+00
 9.39788E+01, 1.52152E-01
 9.42778E+01, 1.84373E+00
 9.45769E+01, 4.39711E-02
 9.48759E+01, 9.62255E-01
 9.51749E+01, 0.00000E+00
 9.54740E+01, 0.00000E+00
 9.57730E+01, 0.00000E+00
 9.60721E+01, 0.00000E+00
 9.63711E+01, 0.00000E+00
 9.66701E+01, 0.00000E+00
 9.69692E+01, 3.61680E-02
 9.72682E+01, 9.71584E-01
 9.75673E+01, 1.33509E-02
 9.78663E+01, 0.00000E+00
 9.81653E+01, 9.95968E-01
 9.84644E+01, 2.56641E-02
 9.87634E+01, 0.00000E+00
 9.90625E+01, 0.00000E+00
 9.93615E+01, 0.00000E+00
 9.96605E+01, 0.00000E+00

-9.50705E+01, 0.00000E+00
-9.47718E+01, 0.00000E+00
-9.44731E+01, 0.00000E+00
-9.41745E+01, 0.00000E+00
-9.38758E+01, 0.00000E+00
-9.35771E+01, 0.00000E+00
-9.32784E+01, 0.00000E+00
-9.29797E+01, 0.00000E+00
-9.26811E+01, 0.00000E+00
-9.23824E+01, 0.00000E+00
-9.20837E+01, 0.00000E+00
-9.17850E+01, 0.00000E+00
-9.14863E+01, 0.00000E+00
-9.11877E+01, 0.00000E+00
-9.08890E+01, 0.00000E+00
-9.05903E+01, 8.74577E-01
-9.02916E+01, 7.63966E-02
-8.99929E+01, 0.00000E+00
-8.96943E+01, 0.00000E+00
-8.93956E+01, 0.00000E+00
-8.90969E+01, 0.00000E+00
-8.87982E+01, 0.00000E+00
-8.84996E+01, 0.00000E+00
-8.82009E+01, 0.00000E+00
-8.79022E+01, 0.00000E+00
-8.76035E+01, 0.00000E+00
-8.73048E+01, 0.00000E+00
-8.70062E+01, 0.00000E+00
-8.67075E+01, 0.00000E+00
-8.64088E+01, 0.00000E+00
-8.61101E+01, 0.00000E+00
-8.58114E+01, 0.00000E+00
-8.55128E+01, 0.00000E+00
-8.52141E+01, 0.00000E+00
-8.49154E+01, 0.00000E+00
-8.46167E+01, 0.00000E+00
-8.43181E+01, 0.00000E+00
-8.40194E+01, 0.00000E+00
-8.37207E+01, 0.00000E+00
-8.34220E+01, 0.00000E+00
-8.31233E+01, 0.00000E+00
-8.28247E+01, 0.00000E+00
-8.25260E+01, 0.00000E+00
-8.22273E+01, 0.00000E+00
-8.19286E+01, 0.00000E+00
-8.16299E+01, 0.00000E+00
-8.13313E+01, 0.00000E+00
-8.10326E+01, 0.00000E+00
-8.07339E+01, 0.00000E+00
-8.04352E+01, 0.00000E+00
-8.01366E+01, 0.00000E+00
-7.98379E+01, 0.00000E+00
-7.95392E+01, 0.00000E+00
-7.92405E+01, 0.00000E+00
-7.89418E+01, 0.00000E+00
-7.86432E+01, 0.00000E+00
-7.83445E+01, 0.00000E+00
-7.80458E+01, 0.00000E+00
-7.77471E+01, 0.00000E+00
-7.74484E+01, 0.00000E+00
-7.71498E+01, 4.09762E-02
