PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),monitor function
 7.87278E+01, 5.12725E+07
 7.90268E+01, 5.12690E+07
 7.93259E+01, 5.13302E+07
 7.96249E+01, 5.11595E+07
 7.99240E+01, 5.13080E+07
 8.02230E+01, 5.14921E+07
 8.05220E+01, 5.12903E+07
 8.08211E+01, 5.13627E+07
 8.11201E+01, 5.16091E+07
 8.14192E+01, 5.15361E+07
 8.17182E+01, 5.15159E+07
 8.20172E+01, 5.13722E+07
 8.23163E+01, 5.12906E+07
 8.26153E+01, 5.12956E+07
 8.29143E+01, 5.12582E+07
 8.32134E+01, 5.13382E+07
 8.35124E+01, 5.11700E+07
 8.38115E+01, 5.12466E+07
 8.41105E+01, 5.12119E+07
 8.44095E+01, 5.12343E+07
 8.47086E+01, 5.12561E+07
 8.50076E+01, 5.11739E+07
 8.53067E+01, 5.12264E+07
 8.56057E+01, 5.13327E+07
 8.59047E+01, 5.12169E+07
 8.62038E+01, 5.12017E+07
 8.65028E+01, 5.11078E+07
 8.68019E+01, 5.11779E+07
 8.71009E+01, 5.11939E+07
 8.73999E+01, 5.12108E+07
 8.76990E+01, 5.13526E+07
 8.79980E+01, 5.13843E+07
 8.82971E+01, 5.11268E+07
 8.85961E+01, 5.11160E+07
 8.88951E+01, 5.12908E+07
 8.91942E+01, 5.11681E+07
 8.94932E+01, 5.11011E+07
 8.97922E+01, 5.11234E+07
 9.00913E+01, 5.11102E+07
 9.03903E+01, 5.11767E+07
 9.06894E+01, 5.11602E+07
 9.09884E+01, 5.11991E+07
 9.12874E+01, 5.10884E+07
 9.15865E+01, 5.11100E+07
 9.18855E+01, 5.13661E+07
 9.21846E+01, 5.13429E+07
 9.24836E+01, 5.12113E+07
 9.27826E+01, 5.11885E+07
 9.30817E+01, 5.12552E+07
 9.33807E+01, 5.10465E+07
 9.36798E+01, 5.11071E+07
 9.39788E+01, 5.13021E+07
 9.42778E+01, 5.14303E+07
 9.45769E+01, 5.12563E+07
 9.48759E+01, 5.11593E+07
 9.51749E+01, 5.11521E+07
 9.54740E+01, 5.12820E+07
 9.57730E+01, 5.11831E+07
 9.60721E+01, 5.11501E+07
 9.63711E+01, 5.11688E+07
 9.66701E+01, 5.09499E+07
 9.69692E+01, 5.09943E+07
 9.72682E+01, 5.07075E+07
 9.75673E+01, 5.07442E+07
 9.78663E+01, 5.07749E+07
 9.81653E+01, 5.08508E+07
 9.84644E+01, 5.09084E+07
 9.87634E+01, 5.10394E+07
 9.90625E+01, 5.07576E+07
 9.93615E+01, 5.09146E+07
 9.96605E+01, 5.09572E+07

-9.50705E+01, 5.25417E+07
-9.47718E+01, 5.23607E+07
-9.44731E+01, 5.25970E+07
-9.41745E+01, 5.25510E+07
-9.38758E+01, 5.21465E+07
-9.35771E+01, 5.25210E+07
-9.32784E+01, 5.20448E+07
-9.29797E+01, 5.18810E+07
-9.26811E+01, 5.17426E+07
-9.23824E+01, 5.15891E+07
-9.20837E+01, 5.16326E+07
-9.17850E+01, 5.17260E+07
-9.14863E+01, 5.19946E+07
-9.11877E+01, 5.18687E+07
-9.08890E+01, 5.18047E+07
-9.05903E+01, 5.18048E+07
-9.02916E+01, 5.18136E+07
-8.99929E+01, 5.16048E+07
-8.96943E+01, 5.15041E+07
-8.93956E+01, 5.16801E+07
-8.90969E+01, 5.14167E+07
-8.87982E+01, 5.13037E+07
-8.84996E+01, 5.13426E+07
-8.82009E+01, 5.14898E+07
-8.79022E+01, 5.12360E+07
-8.76035E+01, 5.11349E+07
-8.73048E+01, 5.11313E+07
-8.70062E+01, 5.12119E+07
-8.67075E+01, 5.12489E+07
-8.64088E+01, 5.14955E+07
-8.61101E+01, 5.14033E+07
-8.58114E+01, 5.14241E+07
-8.55128E+01, 5.11212E+07
-8.52141E+01, 5.14714E+07
-8.49154E+01, 5.12726E+07
-8.46167E+01, 5.11123E+07
-8.43181E+01, 5.08021E+07
-8.40194E+01, 5.07436E+07
-8.37207E+01, 5.10282E+07
-8.34220E+01, 5.07947E+07
-8.31233E+01, 5.06446E+07
-8.28247E+01, 5.06854E+07
-8.25260E+01, 5.08130E+07
-8.22273E+01, 5.06639E+07
-8.19286E+01, 5.07618E+07
-8.16299E+01, 5.07029E+07
